pos,box,rack,freezer
A1,3,1,1
A2,3,1,1
A3,3,1,1
A4,3,1,1
A5,3,1,1
A6,3,1,1
A7,3,1,1
A8,3,1,1
A9,3,1,1
A10,3,1,1
A11,3,1,1
A12,3,1,1
B1,3,1,1
B2,3,1,1
B3,3,1,1
B4,3,1,1
B5,3,1,1
B6,3,1,1
B7,3,1,1
B8,3,1,1
B9,3,1,1
B10,3,1,1
B11,3,1,1
B12,3,1,1
C1,3,1,1
C2,3,1,1
C3,3,1,1
C4,3,1,1
C5,3,1,1
C6,3,1,1
C7,3,1,1
C8,3,1,1
C9,3,1,1
C10,3,1,1
C11,3,1,1
C12,3,1,1
D1,3,1,1
D2,3,1,1
D3,3,1,1
D4,3,1,1
D5,3,1,1
D6,3,1,1
D7,3,1,1
D8,3,1,1
D9,3,1,1
D10,3,1,1
D11,3,1,1
D12,3,1,1
E1,3,1,1
E2,3,1,1
E3,3,1,1
E4,3,1,1
E5,3,1,1
E6,3,1,1
E7,3,1,1
E8,3,1,1
E9,3,1,1
E10,3,1,1
E11,3,1,1
E12,3,1,1
F1,3,1,1
F2,3,1,1
F3,3,1,1
F4,3,1,1
F5,3,1,1
F6,3,1,1
F7,3,1,1
F8,3,1,1
F9,3,1,1
F10,3,1,1
F11,3,1,1
F12,3,1,1
G1,3,1,1
G2,3,1,1
G3,3,1,1
G4,3,1,1
G5,3,1,1
G6,3,1,1
G7,3,1,1
G8,3,1,1
G9,3,1,1
G10,3,1,1
G11,3,1,1
G12,3,1,1
H1,3,1,1
H2,3,1,1
H3,3,1,1
H4,3,1,1
H5,3,1,1
H6,3,1,1
H7,3,1,1
H8,3,1,1
H9,3,1,1
H10,3,1,1
H11,3,1,1
H12,3,1,1
A1,4,1,1
A2,4,1,1
A3,4,1,1
A4,4,1,1
A5,4,1,1
A6,4,1,1
A7,4,1,1
A8,4,1,1
A9,4,1,1
A10,4,1,1
A11,4,1,1
A12,4,1,1
B1,4,1,1
B2,4,1,1
B3,4,1,1
B4,4,1,1
B5,4,1,1
B6,4,1,1
B7,4,1,1
B8,4,1,1
B9,4,1,1
B10,4,1,1
B11,4,1,1
B12,4,1,1
C1,4,1,1
C2,4,1,1
C3,4,1,1
C4,4,1,1
C5,4,1,1
C6,4,1,1
C7,4,1,1
C8,4,1,1
C9,4,1,1
C10,4,1,1
C11,4,1,1
C12,4,1,1
D1,4,1,1
D2,4,1,1
D3,4,1,1
D4,4,1,1
D5,4,1,1
D6,4,1,1
D7,4,1,1
D8,4,1,1
D9,4,1,1
D10,4,1,1
D11,4,1,1
D12,4,1,1
E1,4,1,1
E2,4,1,1
E3,4,1,1
E4,4,1,1
E5,4,1,1
E6,4,1,1
E7,4,1,1
E8,4,1,1
E9,4,1,1
E10,4,1,1
E11,4,1,1
E12,4,1,1
F1,4,1,1
F2,4,1,1
F3,4,1,1
F4,4,1,1
F5,4,1,1
F6,4,1,1
F7,4,1,1
F8,4,1,1
F9,4,1,1
F10,4,1,1
F11,4,1,1
F12,4,1,1
G1,4,1,1
G2,4,1,1
G3,4,1,1
G4,4,1,1
G5,4,1,1
G6,4,1,1
G7,4,1,1
G8,4,1,1
G9,4,1,1
G10,4,1,1
G11,4,1,1
G12,4,1,1
H1,4,1,1
H2,4,1,1
H3,4,1,1
H4,4,1,1
H5,4,1,1
H6,4,1,1
H7,4,1,1
H8,4,1,1
H9,4,1,1
H10,4,1,1
H11,4,1,1
H12,4,1,1
A1,5,1,1
A2,5,1,1
A3,5,1,1
A4,5,1,1
A5,5,1,1
A6,5,1,1
A7,5,1,1
A8,5,1,1
A9,5,1,1
A10,5,1,1
A11,5,1,1
A12,5,1,1
B1,5,1,1
B2,5,1,1
B3,5,1,1
B4,5,1,1
B5,5,1,1
B6,5,1,1
B7,5,1,1
B8,5,1,1
B9,5,1,1
B10,5,1,1
B11,5,1,1
B12,5,1,1
C1,5,1,1
C2,5,1,1
C3,5,1,1
C4,5,1,1
C5,5,1,1
C6,5,1,1
C7,5,1,1
C8,5,1,1
C9,5,1,1
C10,5,1,1
C11,5,1,1
C12,5,1,1
D1,5,1,1
D2,5,1,1
D3,5,1,1
D4,5,1,1
D5,5,1,1
D6,5,1,1
D7,5,1,1
D8,5,1,1
D9,5,1,1
D10,5,1,1
D11,5,1,1
D12,5,1,1
E1,5,1,1
E2,5,1,1
E3,5,1,1
E4,5,1,1
E5,5,1,1
E6,5,1,1
E7,5,1,1
E8,5,1,1
E9,5,1,1
E10,5,1,1
E11,5,1,1
E12,5,1,1
F1,5,1,1
F2,5,1,1
F3,5,1,1
F4,5,1,1
F5,5,1,1
F6,5,1,1
F7,5,1,1
F8,5,1,1
F9,5,1,1
F10,5,1,1
F11,5,1,1
F12,5,1,1
G1,5,1,1
G2,5,1,1
G3,5,1,1
G4,5,1,1
G5,5,1,1
G6,5,1,1
G7,5,1,1
G8,5,1,1
G9,5,1,1
G10,5,1,1
G11,5,1,1
G12,5,1,1
H1,5,1,1
H2,5,1,1
H3,5,1,1
H4,5,1,1
H5,5,1,1
H6,5,1,1
H7,5,1,1
H8,5,1,1
H9,5,1,1
H10,5,1,1
H11,5,1,1
H12,5,1,1
